legacy_row,legacy_accession,legacy_title,legacy_pubmed,match_methods,matched_accessions,matched_count,bridge_status,possibleClassifications,possibleSamplingFrames,discard,reason,notes
235,JX913690,Characteristics of an Environmentally Monitored Prolonged Type 2:Vaccine Derived Poliovirus Shedding Episode that Stopped without:Intervention :,23935826,accession;pubmed,JX913541;JX913542;JX913543;JX913544;JX913545;JX913546;JX913547;JX913548;JX913549;JX913550;JX913551;JX913552;JX913553;JX913554;JX913555;JX913556;JX913557;JX913558;JX913559;JX913560;JX913561;JX913562;JX913563;JX913564;JX913565;JX913566;JX913567;JX913568;JX913569;JX913570;JX913571;JX913572;JX913573;JX913574;JX913575;JX913576;JX913577;JX913578;JX913579;JX913580;JX913581;JX913582;JX913583;JX913584;JX913585;JX913586;JX913587;JX913588;JX913589;JX913590;JX913591;JX913592;JX913593;JX913594;JX913595;JX913596;JX913597;JX913598;JX913599;JX913600;JX913601;JX913602;JX913603;JX913604;JX913605;JX913606;JX913607;JX913608;JX913609;JX913610;JX913611;JX913612;JX913613;JX913614;JX913615;JX913616;JX913617;JX913618;JX913619;JX913620;JX913621;JX913622;JX913623;JX913624;JX913625;JX913626;JX913627;JX913628;JX913629;JX913630;JX913631;JX913632;JX913633;JX913634;JX913635;JX913636;JX913637;JX913638;JX913639;JX913640;JX913641;JX913642;JX913643;JX913644;JX913645;JX913646;JX913647;JX913648;JX913649;JX913650;JX913651;JX913652;JX913653;JX913654;JX913655;JX913656;JX913657;JX913658;JX913659;JX913660;JX913661;JX913662;JX913663;JX913664;JX913665;JX913666;JX913667;JX913668;JX913669;JX913670;JX913671;JX913672;JX913673;JX913674;JX913675;JX913676;JX913677;JX913678;JX913679;JX913680;JX913681;JX913682;JX913683;JX913684;JX913685;JX913686;JX913687;JX913688;JX913689;JX913690,150,multiple_exact_matches,VDPV,environmental,,,
236,K01392,Comparison of the complete nucleotide sequences of the genomes of:the neurovirulent poliovirus P3/Leon/37 and its attenuated Sabin :vaccine derivative P3/Leon 12a1b :,6324200,accession;pubmed,K01392,1,single_exact_match,Leon37,AFP-CNS,,,
237,KC136312,Two Cases of Fatal Respiratory Failure Causing By Poliovirus:Vaccine Strain :,,accession,KC136312,1,single_exact_match,vaccineOrigin,AFP,,,
238,KC784373,Highly Divergent Types 2 and 3 Vaccine-Derived Polioviruses:Isolated from Sewage in Tallinn_ Estonia :,24049178,accession;pubmed,KC784367;KC784368;KC784369;KC784370;KC784371;KC784372;KC784373,7,multiple_exact_matches,VDPV,environmental;AFP,,,
239,KC800683,VP1 sequence analysis of poliovirus type 1 isolated in India:,,accession,KC800683,1,single_exact_match,unknown,AFP,,,
240,KC812257,Sequence analysis of 3D region of wild poliovirus type 1 isolated:in India :,,accession,KC812257,1,single_exact_match,unknown,AFP,,,
241,KC832671,Evolution of type 2 vaccine derived poliovirus lineages. Evidence:for codon-specific positive selection at three distinct locations:on capsid wall :,23840537,accession;pubmed,KC832519;KC832520;KC832521;KC832522;KC832523;KC832524;KC832525;KC832526;KC832527;KC832528;KC832529;KC832530;KC832531;KC832532;KC832533;KC832534;KC832535;KC832536;KC832537;KC832538;KC832539;KC832540;KC832541;KC832542;KC832543;KC832544;KC832545;KC832546;KC832547;KC832548;KC832549;KC832550;KC832551;KC832552;KC832553;KC832554;KC832555;KC832556;KC832557;KC832558;KC832559;KC832560;KC832561;KC832562;KC832563;KC832564;KC832565;KC832566;KC832567;KC832568;KC832569;KC832570;KC832571;KC832572;KC832573;KC832574;KC832575;KC832576;KC832577;KC832578;KC832579;KC832580;KC832581;KC832582;KC832583;KC832584;KC832585;KC832586;KC832587;KC832588;KC832589;KC832590;KC832591;KC832592;KC832593;KC832594;KC832595;KC832596;KC832597;KC832598;KC832599;KC832600;KC832601;KC832602;KC832603;KC832604;KC832605;KC832606;KC832607;KC832608;KC832609;KC832610;KC832611;KC832612;KC832613;KC832614;KC832615;KC832616;KC832617;KC832618;KC832619;KC832620;KC832621;KC832622;KC832623;KC832624;KC832625;KC832626;KC832627;KC832628;KC832629;KC832630;KC832631;KC832632;KC832633;KC832634;KC832635;KC832636;KC832637;KC832638;KC832639;KC832640;KC832641;KC832642;KC832643;KC832644;KC832645;KC832646;KC832647;KC832648;KC832649;KC832650;KC832651;KC832652;KC832653;KC832654;KC832655;KC832656;KC832657;KC832658;KC832659;KC832660;KC832661;KC832662;KC832663;KC832664;KC832665;KC832666;KC832667;KC832668;KC832669;KC832670;KC832671,153,multiple_exact_matches,wild,AFP,,,Strange is that these are Egypt sequences that aren't mentioned in the linked paper. I wonder if this genbank entry is wrong.
242,KC848180,Altered Antibody Profiles against Common Infectious Agents in:Chronic Disease :,24312567,accession;pubmed,KC848180,1,single_exact_match,,,yes,lab neutralization assay strain,
243,KC880521,The 2010 Outbreak of Poliomyelitis in Tajikistan: the Nature and:Some Lessons :,,accession,KC880521,1,single_exact_match,wild,AFP,,,
244,KF177120,Non-polio enterovirus association with persistent diarrhea in:children as revealed by a follow-up study of an Indian cohort:during the first two years of life :,24954472,accession;pubmed,KF176998;KF176999;KF177000;KF177001;KF177002;KF177003;KF177004;KF177005;KF177006;KF177007;KF177008;KF177009;KF177010;KF177011;KF177012;KF177013;KF177014;KF177015;KF177016;KF177017;KF177018;KF177019;KF177020;KF177021;KF177022;KF177023;KF177024;KF177025;KF177026;KF177027;KF177028;KF177029;KF177030;KF177031;KF177032;KF177033;KF177034;KF177035;KF177036;KF177037;KF177038;KF177039;KF177040;KF177041;KF177042;KF177043;KF177044;KF177045;KF177046;KF177047;KF177048;KF177049;KF177050;KF177051;KF177052;KF177053;KF177054;KF177055;KF177056;KF177057;KF177058;KF177059;KF177060;KF177061;KF177062;KF177063;KF177064;KF177065;KF177066;KF177067;KF177068;KF177069;KF177070;KF177071;KF177072;KF177073;KF177074;KF177075;KF177076;KF177077;KF177078;KF177079;KF177080;KF177081;KF177082;KF177083;KF177084;KF177085;KF177086;KF177087;KF177088;KF177089;KF177090;KF177091;KF177092;KF177093;KF177094;KF177095;KF177096;KF177097;KF177098;KF177099;KF177100;KF177101;KF177102;KF177103;KF177104;KF177105;KF177106;KF177107;KF177108;KF177109;KF177110;KF177111;KF177112;KF177113;KF177114;KF177115;KF177116;KF177117;KF177118;KF177119;KF177120,123,multiple_exact_matches,unknown,healthy,,,
245,KF193870,Characterization of Polio virus from live vaccine and polio:patients from Pakistan :,,accession,KF193870,1,single_exact_match,unknown,AFP,,,
246,KF322158,Evolution and Circulation of Type-2 Vaccine-Derived Polioviruses in:Nad Ali District of Southern Afghanistan during June 2009-February :2011 :,24558390,accession;pubmed,KF322152;KF322153;KF322154;KF322155;KF322156;KF322157;KF322158,7,multiple_exact_matches,cVDPV,AFP,,,
247,KF537633,Complete genome sequence of the last representative genotype of:wild indigenous poliovirus type 1_ which circulated in Brazil :,24179117,accession;pubmed,KF537633,1,single_exact_match,wild,AFP,,,
248,KF584242,Outbreak of Type 1 Wild Poliovirus in Adults_ Namibia_ 2006:,,accession,KF584242,1,single_exact_match,wild,AFP,,,
249,KF666633,Isolation and Characterization of a Type 2 Vaccine-Derived:Poliovirus from Environmental Surveillance in China_ 2012 :,24386319,accession;pubmed,KF656732;KF666568;KF666569;KF666570;KF666571;KF666572;KF666573;KF666574;KF666575;KF666576;KF666577;KF666578;KF666579;KF666580;KF666581;KF666582;KF666583;KF666584;KF666585;KF666586;KF666587;KF666588;KF666589;KF666590;KF666591;KF666592;KF666593;KF666594;KF666595;KF666596;KF666597;KF666598;KF666599;KF666600;KF666601;KF666602;KF666603;KF666604;KF666605;KF666606;KF666607;KF666608;KF666609;KF666610;KF666611;KF666612;KF666613;KF666614;KF666615;KF666616;KF666617;KF666618;KF666619;KF666620;KF666621;KF666622;KF666623;KF666624;KF666625;KF666626;KF666627;KF666628;KF666629;KF666630;KF666631;KF666632;KF666633,67,multiple_exact_matches,VDPV,environmental,,,
250,KF698779,Impact of cell lines included in enterovirus isolation protocol on:perception of nonpolio enterovirus species C diversity :,25064357,accession;pubmed,KF698761;KF698762;KF698763;KF698764;KF698765;KF698766;KF698767;KF698768;KF698769;KF698770;KF698771;KF698772;KF698773;KF698774;KF698775;KF698776;KF698777;KF698778;KF698779;KF698780,20,multiple_exact_matches,unknown,environmental,,,
251,KF701306,Detection of vaccine-derived polioviruses in Mexico using:environmental surveillance :,25316850,accession;pubmed,KF701215;KF701216;KF701217;KF701218;KF701219;KF701220;KF701221;KF701222;KF701223;KF701224;KF701225;KF701226;KF701227;KF701228;KF701229;KF701230;KF701231;KF701232;KF701233;KF701234;KF701235;KF701236;KF701237;KF701238;KF701239;KF701240;KF701241;KF701242;KF701243;KF701244;KF701245;KF701246;KF701247;KF701248;KF701249;KF701250;KF701251;KF701252;KF701253;KF701254;KF701255;KF701256;KF701257;KF701258;KF701259;KF701260;KF701261;KF701262;KF701263;KF701264;KF701265;KF701266;KF701267;KF701268;KF701269;KF701270;KF701271;KF701272;KF701273;KF701274;KF701275;KF701276;KF701277;KF701278;KF701279;KF701280;KF701281;KF701282;KF701283;KF701284;KF701285;KF701286;KF701287;KF701288;KF701289;KF701290;KF701291;KF701292;KF701293;KF701294;KF701295;KF701296;KF701297;KF701298;KF701299;KF701300;KF701301;KF701302;KF701303;KF701304;KF701305;KF701306,92,multiple_exact_matches,vaccineOrigin,environmental,,,
252,KF990615,Direct Submission:,,accession,KF990615,1,single_exact_match,wild,AFP,,,
253,KF990616,Direct Submission:,,accession,KF990616,1,single_exact_match,wild,AFP,,,
254,KF990617,Direct Submission:,,accession,KF990617,1,single_exact_match,wild,AFP,,,
255,KF990618,Direct Submission:,,accession,KF990618,1,single_exact_match,wild,AFP,,,
256,KF990619,Direct Submission:,,accession,KF990619,1,single_exact_match,wild,AFP,,,
257,KF990620,Direct Submission:,,accession,KF990620,1,single_exact_match,wild,AFP,,,
258,KF992623,Phylogeny of imported and reestablished wild polioviruses in:theDemocratic Republic of the Congo from 2006 to 2011 :,25316856,accession;pubmed,KF992599;KF992600;KF992601;KF992602;KF992603;KF992604;KF992605;KF992606;KF992607;KF992608;KF992609;KF992610;KF992611;KF992612;KF992613;KF992614;KF992615;KF992616;KF992617;KF992618;KF992619;KF992620;KF992621;KF992622;KF992623;KJ502317;KJ502318;KJ502319;KJ502320;KJ502321;KJ502322;KJ502323;KJ502324;KJ502325;KJ502326;KJ502327;KJ502328;KJ502329;KJ502330;KJ502331;KJ502332;KJ502333;KJ502334;KJ502335;KJ502336;KJ502337;KJ502338;KJ502339;KJ502340;KJ502341;KJ502342;KJ502343;KJ502344;KJ502345;KJ502346;KJ502347;KJ502348;KJ502349;KJ502350;KJ502351;KJ502352;KJ502353;KJ502354;KJ502355;KJ502356;KJ502357;KJ502358;KJ502359;KJ502360;KJ502361;KJ502362;KJ502363;KJ502364;KJ502365;KJ502366;KJ502367;KJ502368;KJ502369;KJ502370;KJ502371;KJ502372;KJ502373;KJ502374;KJ502375;KJ502376;KJ502377;KJ502378;KJ502379;KJ502380;KJ502381;KJ502382;KJ502383;KJ502384;KJ502385;KJ502386;KJ502387;KJ502388;KJ502389;KJ502390;KJ502391;KJ502392;KJ502393;KJ502394;KJ502395;KJ502396;KJ502397;KJ502398;KJ502399;KJ502400;KJ502401;KJ502402;KJ502403;KJ502404;KJ502405;KJ502406;KJ502407;KJ502408;KJ502409;KJ502410;KJ502411;KJ502412;KJ502413;KJ502414;KJ502415;KJ502416;KJ502417;KJ502418;KJ502419;KJ502420;KJ502421;KJ502422;KJ502423;KJ502424;KJ502425;KJ502426;KJ502427;KJ502428;KJ502429;KJ502430;KJ502431;KJ502432;KJ502433;KJ502434;KJ502435;KJ502436;KJ502437;KJ502438;KJ502439;KJ502440;KJ502441;KJ502442;KJ502443;KJ502444;KJ502445;KJ502446;KJ502447;KJ502448;KJ502449;KJ502450;KJ502451;KJ502452;KJ502453;KJ502454;KJ502455;KJ502456;KJ502457;KJ502458;KJ502459;KJ502460;KJ502461;KJ502462;KJ502463;KJ502464;KJ502465;KJ502466;KJ502467;KJ502468;KJ502469;KJ502470;KJ502471;KJ502472;KJ502473;KJ502474;KJ502475;KJ502476;KJ502477;KJ502478;KJ502479;KJ502480;KJ502481;KJ502482;KJ502483;KJ502484;KJ502485;KJ502486;KJ502487;KJ502488;KJ502489;KJ502490;KJ502491;KJ502492;KJ502493;KJ502494;KJ502495;KJ502496;KJ502497;KJ502498;KJ502499;KJ502500;KJ502501;KJ502502;KJ502503;KJ502504;KJ502505;KJ502506;KJ502507;KJ502508;KJ502509;KJ502510;KJ502511;KJ502512;KJ502513;KJ502514;KJ502515;KJ502516;KJ502517;KJ502518;KJ502519;KJ502520;KJ502521;KJ502522;KJ502523;KJ502524;KJ502525;KJ502526;KJ502527;KJ502528;KJ502529;KJ502530;KJ502531;KJ502532;KJ502533;KJ502534;KJ502535;KJ502536;KJ502537;KJ502538;KJ502539;KJ502540;KJ502541;KJ502542;KJ502543;KJ502544;KJ502545;KJ502546;KJ502547;KJ502548;KJ502549;KJ502550;KJ502551;KJ502552;KJ502553;KJ502554;KJ502555;KJ502556;KJ502557;KJ502558;KJ502559;KJ502560,269,multiple_exact_matches,wild,AFP,,,
259,KJ013498,Molecular Epidemiology of Silent Introduction and Sustained:Transmission of Wild Poliovirus Type 1_ Israel_ 2013 :,,accession,KJ013498,1,single_exact_match,wild,environmental;healthy,,,
260,KJ170677,Sabin Vaccine Reversion in the Field: a Comprehensive Analysis of:Sabin-Like Poliovirus Isolates in Nigeria :,26468545,accession;pubmed,KJ170425;KJ170426;KJ170427;KJ170428;KJ170429;KJ170430;KJ170431;KJ170432;KJ170433;KJ170434;KJ170435;KJ170436;KJ170437;KJ170438;KJ170439;KJ170440;KJ170441;KJ170442;KJ170443;KJ170444;KJ170445;KJ170446;KJ170447;KJ170448;KJ170449;KJ170450;KJ170451;KJ170452;KJ170453;KJ170454;KJ170455;KJ170456;KJ170457;KJ170458;KJ170459;KJ170460;KJ170461;KJ170462;KJ170463;KJ170464;KJ170465;KJ170466;KJ170467;KJ170468;KJ170469;KJ170470;KJ170471;KJ170472;KJ170473;KJ170474;KJ170475;KJ170476;KJ170477;KJ170478;KJ170479;KJ170480;KJ170481;KJ170482;KJ170483;KJ170484;KJ170485;KJ170486;KJ170487;KJ170488;KJ170489;KJ170490;KJ170491;KJ170492;KJ170493;KJ170494;KJ170495;KJ170496;KJ170497;KJ170498;KJ170499;KJ170500;KJ170501;KJ170502;KJ170503;KJ170504;KJ170505;KJ170506;KJ170507;KJ170508;KJ170509;KJ170510;KJ170511;KJ170512;KJ170513;KJ170514;KJ170515;KJ170516;KJ170517;KJ170518;KJ170519;KJ170520;KJ170521;KJ170522;KJ170523;KJ170524;KJ170525;KJ170526;KJ170527;KJ170528;KJ170529;KJ170530;KJ170531;KJ170532;KJ170533;KJ170534;KJ170535;KJ170536;KJ170537;KJ170538;KJ170539;KJ170540;KJ170541;KJ170542;KJ170543;KJ170544;KJ170545;KJ170546;KJ170547;KJ170548;KJ170549;KJ170550;KJ170551;KJ170552;KJ170553;KJ170554;KJ170555;KJ170556;KJ170557;KJ170558;KJ170559;KJ170560;KJ170561;KJ170562;KJ170563;KJ170564;KJ170565;KJ170566;KJ170567;KJ170568;KJ170569;KJ170570;KJ170571;KJ170572;KJ170573;KJ170574;KJ170575;KJ170576;KJ170577;KJ170578;KJ170579;KJ170580;KJ170581;KJ170582;KJ170583;KJ170584;KJ170585;KJ170586;KJ170587;KJ170588;KJ170589;KJ170590;KJ170591;KJ170592;KJ170593;KJ170594;KJ170595;KJ170596;KJ170597;KJ170598;KJ170599;KJ170600;KJ170601;KJ170602;KJ170603;KJ170604;KJ170605;KJ170606;KJ170607;KJ170608;KJ170609;KJ170610;KJ170611;KJ170612;KJ170613;KJ170614;KJ170615;KJ170616;KJ170617;KJ170618;KJ170619;KJ170620;KJ170621;KJ170622;KJ170623;KJ170624;KJ170625;KJ170626;KJ170627;KJ170628;KJ170629;KJ170630;KJ170631;KJ170632;KJ170633;KJ170634;KJ170635;KJ170636;KJ170637;KJ170638;KJ170639;KJ170640;KJ170641;KJ170642;KJ170643;KJ170644;KJ170645;KJ170646;KJ170647;KJ170648;KJ170649;KJ170650;KJ170651;KJ170652;KJ170653;KJ170654;KJ170655;KJ170656;KJ170657;KJ170658;KJ170659;KJ170660;KJ170661;KJ170662;KJ170663;KJ170664;KJ170665;KJ170666;KJ170667;KJ170668;KJ170669;KJ170670;KJ170671;KJ170672;KJ170673;KJ170674;KJ170675;KJ170676;KJ170677,253,multiple_exact_matches,SabinLike,AFP,,,
261,KJ419277,Limited and localized outbreak of newly emergent type 2:vaccine-derived poliovirus in sichuan_ china :,24850620,accession;pubmed,KJ419273;KJ419274;KJ419275;KJ419276;KJ419277,5,multiple_exact_matches,cVDPV,AFP;healthy,,,
262,KJ460332,Molecular Characterization and Phylogenetic Relationship of Wild:Type 1 Poliovirus Strains Circulating across Pakistan and :Afghanistan Bordering Areas during 2010-2012 :,25229826,accession;pubmed,KJ460261;KJ460262;KJ460263;KJ460264;KJ460265;KJ460266;KJ460267;KJ460268;KJ460269;KJ460270;KJ460271;KJ460272;KJ460273;KJ460274;KJ460275;KJ460276;KJ460277;KJ460278;KJ460279;KJ460280;KJ460281;KJ460282;KJ460283;KJ460284;KJ460285;KJ460286;KJ460287;KJ460288;KJ460289;KJ460290;KJ460291;KJ460292;KJ460293;KJ460294;KJ460295;KJ460296;KJ460297;KJ460298;KJ460299;KJ460300;KJ460301;KJ460302;KJ460303;KJ460304;KJ460305;KJ460306;KJ460307;KJ460308;KJ460309;KJ460310;KJ460311;KJ460312;KJ460313;KJ460314;KJ460315;KJ460316;KJ460317;KJ460318;KJ460319;KJ460320;KJ460321;KJ460322;KJ460323;KJ460324;KJ460325;KJ460326;KJ460327;KJ460328;KJ460329;KJ460330;KJ460331;KJ460332,72,multiple_exact_matches,wild,AFP,,,
263,KJ852648,Sporadic Isolation of Sabin-Like Polioviruses and High-Level :Detection of Non-Polio Enteroviruses during Sewage Surveillance in :Seven Italian Cities_ after Several Years of Inactivated Poliovirus:Vaccination :,24814793,accession;pubmed,KJ852629;KJ852630;KJ852631;KJ852632;KJ852633;KJ852634;KJ852635;KJ852636;KJ852637;KJ852638;KJ852639;KJ852640;KJ852641;KJ852642;KJ852643;KJ852644;KJ852645;KJ852646;KJ852647;KJ852648;KJ867446;KJ867447;KJ867448;KJ867449;KJ867450;KJ867451;KJ867452;KJ867453;KJ867454;KJ867455;KJ867456;KJ867457;KJ867458;KJ867459,34,multiple_exact_matches,vaccineOrigin,environmental,,,
264,KM233675,Enterovirus species circulating in Nigeria and their contribution:to the emergence of recombinant circulating vaccine derived :polioviruses :,,accession,KM233675,1,single_exact_match,unknown,environmental,,,
265,KM235193,Enterovirus Species Cs Circulating in Nigeria and Their :Contribution To The Emergence of Recombinant Circulating Vaccine:Derived Polioviruses :,,accession,KM235193,1,single_exact_match,unknown,environmental,,,
266,KM433732,Complete genome sequence analysis of a poliovirus type 2 strain:isolated in Yunnan_ China_ in 2013 :,,accession,KM433732,1,single_exact_match,vaccineOrigin,AFP-CSF,,,
267,KP004244,Genetic analysis and characterization of wild poliovirus type 1:during sustained transmission in a population with >95% vaccine:coverage_ Israel 2013 :,25550350,accession;pubmed,KJ019831;KJ019832;KJ019833;KP004224;KP004225;KP004226;KP004227;KP004228;KP004229;KP004230;KP004231;KP004232;KP004233;KP004234;KP004235;KP004236;KP004237;KP004238;KP004239;KP004240;KP004241;KP004242;KP004243;KP004244,24,multiple_exact_matches,wild,environmental,,,
268,KP143072,Circulating vaccine-derived polioviruses in the Extreme North:region of Cameroon :,25542478,accession;pubmed,KP143045;KP143046;KP143047;KP143048;KP143049;KP143050;KP143051;KP143052;KP143053;KP143054;KP143055;KP143056;KP143057;KP143058;KP143059;KP143060;KP143061;KP143062;KP143063;KP143064;KP143065;KP143066;KP143067;KP143068;KP143069;KP143070;KP143071;KP143072,28,multiple_exact_matches,cVDPV,AFP,,,
269,KP196613,The Genetic Character Analysis of Type 2 Vaccine-derived Poliovirus:in Shanxi Province in 2014 :,,accession,KP196613,1,single_exact_match,VDPV,AFP,,,
270,KR259355,Vaccine derived polioviruses that escaped detection by the :real-time RT-PCR VDPV screening assay used in polio surveillance:,,accession,KR259355,1,single_exact_match,unknown,environmental,,,
271,KR259358,Vaccine-Derived Polioviruses Not Detected by Global Surveillance:Screening Assay :,26402584,accession;pubmed,KR259356;KR259357;KR259358,3,multiple_exact_matches,VDPV,AFP,,,
272,KR709242,Two Cases of Vaccine-Derived Poliovirus Infection in an Oncology:Ward :,27028932,accession;pubmed,KR709241;KR709242,2,multiple_exact_matches,iVDPV,healthy,,,
273,KR817066,Twenty-eight years of poliovirus replication in an immunodeficient:individual: impact on the global polio eradication initiative :,,accession,KR817066,1,single_exact_match,iVDPV;wild,healthy;AFP,,,
274,KT022351,Enterovirus Species B Bias of RD Cell Line and Its Influence on:Enterovirus Diversity Landscape :,26403309,accession;pubmed,KT022351,1,single_exact_match,unknown,environmental,,,
275,KT353719,Direct Submission:,,accession,KT353719,1,single_exact_match,unknown,unknown,,,
276,KU161399,Environmental surveillance of viruses by tangential flow filtration:and metagenomic reconstruction :,27105043,accession;pubmed,KU161395;KU161396;KU161397;KU161398;KU161399,5,multiple_exact_matches,wild,environmental,,,
277,KU198435,Molecular and Phenotypic Characterization of a Highly Evolved Type:2 Vaccine-Derived Poliovirus Isolated from Sewage in Brazil_ 2014 :,,accession,KU198435,1,single_exact_match,VDPV,environmental,,,
278,KU372652,Molecular and Phenotypic Characterization of a Highly Evolved Type :2 Vaccine-Derived Poliovirus Isolated from Seawater in Brazil_ 2014:,27019095,accession;pubmed,KU372652,1,single_exact_match,VDPV,environmental,,,
279,KU598891,A cluster of paralytic poliomyelitis cases due to transmission of:slightly diverged Sabin-2 vaccine virus :,27099315,accession;pubmed,KU598883;KU598884;KU598885;KU598886;KU598887;KU598888;KU598889;KU598890;KU598891,9,multiple_exact_matches,VDPV,AFP;healthy,,,
280,KU708514,Nucleotide variation in Sabin type 3 poliovirus from an Albanian :infant with agammaglobulinemia and vaccine associated poliomyelitis:,27287521,accession;pubmed,KU708511;KU708512;KU708513;KU708514,4,multiple_exact_matches,vaccineOrigin,AFP,,,
281,KU738889,Detection of poliovirus infection in children with acute:gastroenteritis in Thailand :,,accession,KU738889,1,single_exact_match,,,yes,fragment,
282,KU763188,Rare natural type 3/type 2 intertypic capsid recombinant :vaccine-related Poliovirus isolated from a case of acute flaccid:paralysis in Brazil_ 2015 :,,accession,KU763188,1,single_exact_match,vaccineOrigin,AFP,,,
283,KU866422,Direct Submission:,,accession,KU866422,1,single_exact_match,Mahoney,Mahoney,,,
284,KU878958,Neutralization capacity of highly divergent type 2 vaccine-derived:polioviruses from immunodficient patients :,,accession,KU878958,1,single_exact_match,iVDPV,AFP,,,
285,KU925284,Importation and outbreak of wild polioviruses from 2000 to 2014 and:interruption of transmission in Cameroon :,27045455,accession;pubmed,KU925247;KU925248;KU925249;KU925250;KU925251;KU925252;KU925253;KU925254;KU925255;KU925256;KU925257;KU925258;KU925259;KU925260;KU925261;KU925262;KU925263;KU925264;KU925265;KU925266;KU925267;KU925268;KU925269;KU925270;KU925271;KU925272;KU925273;KU925274;KU925275;KU925276;KU925277;KU925278;KU925279;KU925280;KU925281;KU925282;KU925283;KU925284;KU925285;KU925286;KU925287;KU925288;KU925289;KU925290;KU925291;KU925292;KU925293;KU925294,48,multiple_exact_matches,wild,AFP,,,
286,KX011400,Detection of Enterovirus Infection among Patients With Aseptic:Meningitis in South of Iran :,,accession,KX011400,1,single_exact_match,unknown,AFP-CSF,,,
287,KX162717,High-Throughput Next Generation Sequencing of Polioviruses:,27927929,accession;pubmed,KX162678;KX162679;KX162680;KX162681;KX162682;KX162683;KX162684;KX162685;KX162686;KX162687;KX162688;KX162689;KX162690;KX162691;KX162692;KX162693;KX162695;KX162696;KX162697;KX162698;KX162699;KX162700;KX162701;KX162702;KX162703;KX162704;KX162705;KX162706;KX162707;KX162708;KX162709;KX162710;KX162711;KX162712;KX162713;KX162714;KX162715;KX162716;KX162717,39,multiple_exact_matches,SabinLike;cVDPV;wild,AFP,,,
288,KX197454,Molecular epidemiology of human enterovirus 71 at the origin of an:epidemic of fatal hand_ foot and mouth disease cases in Cambodia :,27651091,accession;pubmed,KX197425;KX197450;KX197453;KX197454,4,multiple_exact_matches,vaccineOrigin,healthy,,,
289,KX432024,Detection of poliovirus infection in children with acute:gastroenteritis in Chiang Mai_ Thailand :,27664943,accession;pubmed,KX432017;KX432018;KX432019;KX432020;KX432021;KX432022;KX432023;KX432024,8,multiple_exact_matches,vaccineOrigin,healthy,,,
290,KX828560,Wild and vaccine-derived Poliovirus detection through environmental:surveillance: Sao Paulo_ Brazil_ 2014 :,,accession,KX828560,1,single_exact_match,unknown,environmental,,,
291,KY026068,Human poliovirus 1 strain Mahoney-like:,,accession,KY026068,1,single_exact_match,,,yes,fragment,
292,KY774682,Human enteroviruses associated with and without diarrhea in:Thailand between 2010 and 2016 :,28750058,accession;pubmed,KY079146;KY079147;KY079148;KY079155;KY079156;KY079157;KY079159;KY079167;KY079172;KY079173;KY079179;KY079180;KY079196;KY079200;KY079201;KY079204;KY079206;KY079207;KY079208;KY079209;KY079210;KY079211;KY079212;KY079213;KY079215;KY079220;KY079222;KY079223;KY079224;KY079225;KY079226;KY079227;KY079232;KY079241;KY079243;KY079257;KY079258;KY079261;KY774681;KY774682,40,multiple_exact_matches,vaccineOrigin,healthy,,,
