legacy_row,legacy_accession,legacy_title,legacy_pubmed,match_methods,matched_accessions,matched_count,bridge_status,possibleClassifications,possibleSamplingFrames,discard,reason,notes
45,AF551841,Circulation of endemic type 2 vaccine-derived poliovirus in Egypt:from 1983 to 1993 :,12857906,accession;pubmed,AF448782;AF448783;AF551795;AF551796;AF551797;AF551798;AF551799;AF551800;AF551801;AF551802;AF551803;AF551804;AF551805;AF551806;AF551807;AF551808;AF551809;AF551810;AF551811;AF551812;AF551813;AF551814;AF551815;AF551816;AF551817;AF551818;AF551819;AF551820;AF551821;AF551822;AF551823;AF551824;AF551825;AF551826;AF551827;AF551828;AF551829;AF551830;AF551831;AF551832;AF551833;AF551834;AF551835;AF551836;AF551837;AF551838;AF551839;AF551840;AF551841,49,multiple_exact_matches,wild;cVDPV,AFP,,,
46,AH004344 S66302 S66304,Genomic analysis of type 3 wild poliovirus isolates in southern:Alberta :,8395279,pubmed,AH004344,1,single_exact_match,wild,healthy,,,"source for ""healthy"": MMWR 42(17);337-339 http://www.cdc.gov/mmwr/preview/mmwrhtml/00020490.htm"
47,AJ007969,Antigenic and molecular characterization of wild type 1 poliovirus:causing outbreaks of poliomyelitis in Albania and neighboring :countries in 1996 :,9650935,accession;pubmed,AJ007959;AJ007960;AJ007961;AJ007962;AJ007963;AJ007964;AJ007965;AJ007966;AJ007967;AJ007968;AJ007969,11,multiple_exact_matches,wild,AFP,,,
48,AJ132961,Evolution of poliovirus type I during 5.5 years of prolonged:enteral replication in an immunodeficient patient :,10600590,accession;pubmed,AJ132960;AJ132961,2,multiple_exact_matches,iVDPV,AFP,,,
49,AJ248524,Direct Submission:,,accession,AJ248524,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
50,AJ248525,Direct Submission:,,accession,AJ248525,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
51,AJ248526,Direct Submission:,,accession,AJ248526,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
52,AJ248527,Direct Submission:,,accession,AJ248527,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
53,AJ248528,Direct Submission:,,accession,AJ248528,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
54,AJ248529,Direct Submission:,,accession,AJ248529,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
55,AJ248530,Direct Submission:,,accession,AJ248530,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
56,AJ248531,Direct Submission:,,accession,AJ248531,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
57,AJ248532,Direct Submission:,,accession,AJ248532,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
58,AJ248533,Direct Submission:,,accession,AJ248533,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
59,AJ248534,Direct Submission:,,accession,AJ248534,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
60,AJ248535,Direct Submission:,,accession,AJ248535,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
61,AJ248536,Direct Submission:,,accession,AJ248536,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
62,AJ248537,Direct Submission:,,accession,AJ248537,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
63,AJ248538,Direct Submission:,,accession,AJ248538,1,single_exact_match,wild,AFP,,,source for AFP: country is India in 1990's and /isolate looks like polio surveillance EPID (case ID)
